month,mother_age,child_gender,mother_race,birth_count
2020-10,20  -  24,F,MALAYS,38
2020-10,20  -  24,M,MALAYS,22
2020-10,20  -  24,F,OTHERS,4
2020-10,20  -  24,M,OTHERS,8
2020-10,25  -  29,F,CHINESE,188
2020-10,25  -  29,M,CHINESE,181
2020-10,25  -  29,F,INDIANS,40
2020-10,25  -  29,M,INDIANS,52
2020-10,25  -  29,F,MALAYS,130
2020-10,25  -  29,M,MALAYS,135
2020-10,25  -  29,F,OTHERS,31
2020-10,25  -  29,M,OTHERS,35
2020-10,30  -  34,F,CHINESE,487
2020-10,30  -  34,M,CHINESE,455
2020-10,30  -  34,F,INDIANS,98
2020-10,30  -  34,M,INDIANS,98
2020-10,30  -  34,F,MALAYS,128
2020-10,30  -  34,M,MALAYS,128
2020-10,30  -  34,F,OTHERS,85
2020-10,30  -  34,M,OTHERS,85
2020-10,35  -  39,F,CHINESE,245
2020-10,35  -  39,M,CHINESE,251
2020-10,35  -  39,F,INDIANS,35
2020-10,35  -  39,M,INDIANS,51
2020-10,35  -  39,F,MALAYS,34
2020-10,35  -  39,M,MALAYS,67
2020-10,35  -  39,F,OTHERS,69
2020-10,35  -  39,M,OTHERS,70
2020-10,40  -  44,F,CHINESE,51
2020-10,40  -  44,M,CHINESE,46
2020-10,40  -  44,F,INDIANS,4
2020-10,40  -  44,M,INDIANS,7
2020-10,40  -  44,F,MALAYS,9
2020-10,40  -  44,M,MALAYS,5
2020-10,40  -  44,F,OTHERS,14
2020-10,40  -  44,M,OTHERS,19
2020-10,45  -  49,M,CHINESE,3
2020-10,45  -  49,M,INDIANS,1
2020-10,45  -  49,F,OTHERS,2
2020-10,50  -  54,M,INDIANS,1
2020-10,50  -  54,M,OTHERS,1
2020-11,15  -  19,F,CHINESE,3
2020-11,15  -  19,M,CHINESE,3
2020-11,15  -  19,F,MALAYS,6
2020-11,15  -  19,M,MALAYS,9
2020-11,15  -  19,F,OTHERS,1
2020-11,20  -  24,F,CHINESE,18
2020-11,20  -  24,M,CHINESE,19
2020-11,20  -  24,F,INDIANS,8
